index,Name,Date,Open,High,Low,Close,Adj Close,Volume
18,Fin Nifty,2022-06-27,15826.349609,15826.5,15629.900391,15651.0,15651.0,515300.0
19,Nifty,2022-06-28,15757.450195,15892.099609,15710.150391,15850.200195,15850.200195,251900
19,Bank Nifty,2022-07-28,37102.449219,37414.398438,37028.5,37378.148438,37377.714844,172500.0
19,Fin Nifty,2022-06-28,15548.299805,15611.349609,15470.299805,15559.049805,15559.049805,629700.0
20,Nifty,2022-06-29,15701.700195,15861.599609,15687.799805,15799.099609,15799.099609,444900
20,Bank Nifty,2022-07-29,37717.300781,37754.648438,37221.148438,37491.398438,37490.960938,166900.0
20,Fin Nifty,2022-06-29,15410.349609,15490.049805,15383.299805,15409.349609,15409.349609,636200.0
21,Nifty,2022-06-30,15774.5,15890.0,15728.849609,15780.25,15780.25,306000
21,Bank Nifty,2022-08-01,37594.148438,37939.601563,37407.199219,37903.199219,37902.757813,346400.0
21,Fin Nifty,2022-06-30,15358.700195,15563.900391,15358.700195,15474.400391,15474.400391,837600.0
22,Nifty,2022-07-01,15703.700195,15793.950195,15511.049805,15752.049805,15752.049805,364100
22,Bank Nifty,2022-08-02,37767.699219,38179.851563,37632.300781,38024.0,38023.558594,317300.0
22,Fin Nifty,2022-07-01,15395.900391,15674.900391,15315.049805,15620.75,15620.75,707500.0
23,Nifty,2022-07-04,15710.5,15852.349609,15661.799805,15835.349609,15835.349609,304300
23,Bank Nifty,2022-08-03,37954.550781,38068.601563,37692.949219,37989.25,37988.808594,200300.0
23,Fin Nifty,2022-07-04,15600.700195,15786.400391,15559.599609,15766.5,15766.5,468400.0
24,Nifty,2022-07-05,15909.150391,16025.75,15785.450195,15810.849609,15810.849609,254200
24,Bank Nifty,2022-08-04,38111.050781,38231.851563,37249.5,37755.550781,37755.113281,186300.0
24,Fin Nifty,2022-07-05,15855.200195,15981.5,15695.299805,15729.150391,15729.150391,861500.0
25,Nifty,2022-07-06,15818.200195,16011.349609,15800.900391,15989.799805,15989.799805,288400
25,Bank Nifty,2022-08-05,37868.25,38150.449219,37779.898438,37920.601563,37920.160156,175900.0
25,Fin Nifty,2022-07-06,15745.049805,16009.849609,15735.400391,15980.25,15980.25,716900.0
26,Nifty,2022-07-07,16113.75,16150.5,16045.950195,16132.900391,16132.900391,264600
26,Bank Nifty,2022-08-08,37847.351563,38302.351563,37681.449219,38237.398438,38236.953125,174100.0
26,Fin Nifty,2022-07-07,16109.299805,16196.799805,16031.700195,16179.0,16179.0,696900.0
27,Nifty,2022-07-08,16273.650391,16275.5,16157.900391,16220.599609,16220.599609,281100
27,Bank Nifty,2022-08-10,38298.851563,38402.949219,38155.300781,38287.851563,38287.40625,163900.0
27,Fin Nifty,2022-07-08,16332.400391,16332.400391,16188.450195,16260.200195,16260.200195,630900.0
