Date,Open,High,Low,Close,Adj Close,Volume
2022-07-26,16632.900390625,16636.099609375,16463.30078125,16483.849609375,16483.849609375,208200
2022-07-27,16475.349609375,16653.44921875,16438.75,16641.80078125,16641.80078125,185200
2022-07-28,16774.849609375,16947.650390625,16746.25,16929.599609375,16929.599609375,376300
2022-07-29,17079.5,17172.80078125,17018.150390625,17158.25,17158.25,436100
2022-08-01,17243.19921875,17356.25,17154.80078125,17340.05078125,17340.05078125,381500
2022-08-02,17310.150390625,17390.150390625,17215.849609375,17345.44921875,17345.44921875,333600
2022-08-03,17349.25,17407.5,17225.849609375,17388.150390625,17388.150390625,285400
2022-08-04,17463.099609375,17490.69921875,17161.25,17382.0,17382.0,325000
2022-08-05,17423.650390625,17474.400390625,17348.75,17397.5,17397.5,355300
2022-08-08,17401.5,17548.80078125,17359.75,17525.099609375,17525.099609375,257000
2022-08-10,17566.099609375,17566.099609375,17442.80078125,17534.75,17534.75,312700
2022-08-11,17711.650390625,17719.30078125,17631.94921875,17659.0,17659.0,311200
2022-08-12,17659.650390625,17724.650390625,17597.849609375,17698.150390625,17698.150390625,303900
2022-08-16,17797.19921875,17839.099609375,17764.05078125,17825.25,17825.25,0
2022-08-17,17868.150390625,17965.94921875,17833.349609375,17944.25,17944.25,262800
2022-08-18,17898.650390625,17968.44921875,17852.05078125,17956.5,17956.5,263900
2022-08-19,17966.55078125,17992.19921875,17710.75,17758.44921875,17758.44921875,295600
2022-08-22,17682.900390625,17690.05078125,17467.349609375,17490.69921875,17490.69921875,287600
2022-08-23,17357.349609375,17625.55078125,17345.19921875,17577.5,17577.5,285600
2022-08-24,17525.44921875,17623.650390625,17499.25,17604.94921875,17604.94921875,262000
2022-08-25,17679.0,17726.5,17487.44921875,17522.44921875,17522.44921875,230200
2022-08-26,17619.30078125,17685.849609375,17519.349609375,17558.900390625,17558.900390625,266600
2022-08-29,17188.650390625,17380.150390625,17166.19921875,17312.900390625,17312.900390625,244900
2022-08-30,17414.94921875,17777.650390625,17401.5,17759.30078125,17759.30078125,324700
2022-09-01,17485.69921875,17695.599609375,17468.44921875,17542.80078125,17542.80078125,308500
2022-09-02,17598.400390625,17643.849609375,17476.44921875,17539.44921875,17539.44921875,256300
2022-09-05,17546.44921875,17683.150390625,17540.349609375,17665.80078125,17665.80078125,230300
2022-09-06,17695.69921875,17764.650390625,17587.650390625,17655.599609375,17655.599609375,251200
2022-09-07,17519.400390625,17650.75,17484.30078125,17624.400390625,17624.400390625,354100
2022-09-08,17748.150390625,17807.650390625,17691.94921875,17798.75,17798.75,279800
2022-09-09,17923.349609375,17925.94921875,17786.0,17833.349609375,17833.349609375,270300
2022-09-12,17890.849609375,17980.55078125,17889.150390625,17936.349609375,17936.349609375,228200
2022-09-13,18044.44921875,18088.30078125,18015.44921875,18070.05078125,18070.05078125,259900
2022-09-14,17771.150390625,18091.55078125,17771.150390625,18003.75,18003.75,365900
2022-09-15,18046.349609375,18096.150390625,17861.5,17877.400390625,17877.400390625,289600
2022-09-16,17796.80078125,17820.05078125,17497.25,17530.849609375,17530.849609375,468500
2022-09-19,17540.650390625,17667.19921875,17429.69921875,17622.25,17622.25,258300
2022-09-20,17770.400390625,17919.30078125,17744.400390625,17816.25,17816.25,263100
2022-09-21,17766.349609375,17838.69921875,17663.599609375,17718.349609375,17718.349609375,245500
2022-09-22,17609.650390625,17722.75,17532.44921875,17629.80078125,17629.80078125,284100
2022-09-23,17593.849609375,17642.150390625,17291.650390625,17327.349609375,17327.349609375,390800
2022-09-26,17156.30078125,17196.400390625,16978.30078125,17016.30078125,17016.30078125,492000
2022-09-27,17110.900390625,17176.44921875,16942.349609375,17007.400390625,17007.400390625,359900
2022-09-28,16870.55078125,17037.599609375,16820.400390625,16858.599609375,16858.599609375,323900
2022-09-29,16993.599609375,17026.05078125,16788.599609375,16818.099609375,16818.099609375,340000
2022-09-30,16798.05078125,17187.099609375,16747.69921875,17094.349609375,17094.349609375,376100
2022-10-03,17102.099609375,17114.650390625,16855.55078125,16887.349609375,16887.349609375,278400
2022-10-04,17147.44921875,17287.30078125,17117.30078125,17274.30078125,17274.30078125,226000
2022-10-06,17379.25,17428.80078125,17315.650390625,17331.80078125,17331.80078125,265500
2022-10-07,17287.19921875,17337.349609375,17216.94921875,17314.650390625,17314.650390625,216300
2022-10-10,17094.349609375,17280.150390625,17064.69921875,17241.0,17241.0,234000
2022-10-11,17256.05078125,17261.80078125,16950.30078125,16983.55078125,16983.55078125,282600
2022-10-12,17025.55078125,17142.349609375,16960.05078125,17123.599609375,17123.599609375,256000
2022-10-13,17087.349609375,17112.349609375,16956.94921875,17014.349609375,17014.349609375,266400
2022-10-14,17322.30078125,17348.55078125,17169.75,17185.69921875,17185.69921875,227000
2022-10-17,17144.80078125,17328.55078125,17098.55078125,17311.80078125,17311.80078125,212200
2022-10-18,17438.75,17527.80078125,17434.05078125,17486.94921875,17486.94921875,239500
2022-10-19,17568.150390625,17607.599609375,17472.849609375,17512.25,17512.25,210500
2022-10-20,17423.099609375,17584.150390625,17421.0,17563.94921875,17563.94921875,249600
2022-10-21,17622.849609375,17670.150390625,17520.75,17576.30078125,17576.30078125,277700
2022-10-24,17736.349609375,17777.55078125,17707.400390625,17730.75,17730.75,45000
2022-10-25,17808.30078125,17811.5,17637.0,17656.349609375,17656.349609375,251400
2022-10-27,17771.400390625,17783.900390625,17654.5,17736.94921875,17736.94921875,324600
2022-10-28,17756.400390625,17838.900390625,17723.69921875,17786.80078125,17786.80078125,250000
2022-10-31,17910.19921875,18022.80078125,17899.900390625,18012.19921875,18012.19921875,227200
2022-11-01,18130.69921875,18175.80078125,18060.150390625,18145.400390625,18145.400390625,349900
2022-11-02,18177.900390625,18178.75,18048.650390625,18082.849609375,18082.849609375,270900
2022-11-03,17968.349609375,18106.30078125,17959.19921875,18052.69921875,18052.69921875,213000
2022-11-04,18053.400390625,18135.099609375,18017.150390625,18117.150390625,18117.150390625,267900
2022-11-07,18211.75,18255.5,18064.75,18202.80078125,18202.80078125,314800
2022-11-09,18288.25,18296.400390625,18117.5,18157.0,18157.0,307200
2022-11-10,18044.349609375,18103.099609375,17969.400390625,18028.19921875,18028.19921875,256500
2022-11-11,18272.349609375,18362.30078125,18259.349609375,18349.69921875,18349.69921875,378500
2022-11-14,18376.400390625,18399.44921875,18311.400390625,18329.150390625,18329.150390625,301400
2022-11-15,18362.75,18427.94921875,18282.0,18403.400390625,18403.400390625,250900
2022-11-16,18398.25,18442.150390625,18344.150390625,18409.650390625,18409.650390625,219300
2022-11-17,18358.69921875,18417.599609375,18312.94921875,18343.900390625,18343.900390625,200500
2022-11-18,18382.94921875,18394.599609375,18209.80078125,18307.650390625,18307.650390625,198800
2022-11-21,18246.400390625,18262.30078125,18133.349609375,18159.94921875,18159.94921875,213800
2022-11-22,18179.150390625,18261.849609375,18137.69921875,18244.19921875,18244.19921875,177700
2022-11-23,18325.19921875,18325.400390625,18246.0,18267.25,18267.25,178800
2022-11-24,18326.099609375,18529.69921875,18294.25,18484.099609375,18484.099609375,204000
2022-11-25,18528.44921875,18534.900390625,18445.099609375,18512.75,18512.75,205900
2022-11-28,18430.55078125,18614.25,18365.599609375,18562.75,18562.75,206500
2022-11-29,18552.44921875,18678.099609375,18552.150390625,18618.05078125,18618.05078125,195300
2022-11-30,18625.69921875,18816.05078125,18616.55078125,18758.349609375,18758.349609375,345600
2022-12-01,18871.94921875,18887.599609375,18778.19921875,18812.5,18812.5,325000
2022-12-02,18752.400390625,18781.94921875,18639.19921875,18696.099609375,18696.099609375,254400
2022-12-05,18719.55078125,18728.599609375,18591.349609375,18701.05078125,18701.05078125,288400
2022-12-06,18600.650390625,18654.900390625,18577.900390625,18642.75,18642.75,217800
2022-12-07,18638.849609375,18668.30078125,18528.400390625,18560.5,18560.5,200500
2022-12-08,18570.849609375,18625.0,18536.94921875,18609.349609375,18609.349609375,202800
