,diff,pcr,optionSignal,vWap,price,vWapSignal,time,call,put,date
0,"{'value': '577300', 'colorCode': 1}","{'value': '1.04', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19743.00', 'colorCode': 0}","{'value': '19755', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",950,13401800,13979100,28/07/2023
1,"{'value': '1334700', 'colorCode': 1}","{'value': '1.09', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19746.00', 'colorCode': 0}","{'value': '19768', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1000,14378100,15712800,28/07/2023
2,"{'value': '2421750', 'colorCode': 1}","{'value': '1.17', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19746.00', 'colorCode': 0}","{'value': '19756', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1005,14249600,16671350,28/07/2023
3,"{'value': '2432000', 'colorCode': 1}","{'value': '1.16', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19745.00', 'colorCode': 0}","{'value': '19728', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1010,15566800,17998800,28/07/2023
4,"{'value': '650750', 'colorCode': 1}","{'value': '1.04', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19745.00', 'colorCode': 0}","{'value': '19732', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1015,16678050,17328800,28/07/2023
5,"{'value': '-1111600', 'colorCode': 2}","{'value': '0.94', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19744.00', 'colorCode': 0}","{'value': '19738', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1020,18749450,17637850,28/07/2023
6,"{'value': '-1312000', 'colorCode': 2}","{'value': '0.93', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19742.00', 'colorCode': 0}","{'value': '19716', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1025,19307400,17995400,28/07/2023
7,"{'value': '-2339250', 'colorCode': 2}","{'value': '0.88', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19741.00', 'colorCode': 0}","{'value': '19725', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1030,19726900,17387650,28/07/2023
8,"{'value': '-2528350', 'colorCode': 2}","{'value': '0.87', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19741.00', 'colorCode': 0}","{'value': '19725', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1035,19891000,17362650,28/07/2023
9,"{'value': '-2592700', 'colorCode': 2}","{'value': '0.87', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19741.00', 'colorCode': 0}","{'value': '19727', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1040,20408600,17815900,28/07/2023
