,Date,Open,High,Low,Close,Adj Close,Volume
,Date,Open,High,Low,Close,Adj Close,Volume
32,2022-08-18,39324.398438,39703.699219,39291.148438,39656.148438,39655.6875,137200.0
33,2022-07-18,16151.400391,16287.950195,16142.200195,16278.5,16278.5,227700
33,2022-08-19,39732.648438,39759.148438,38848.398438,38985.949219,38985.496094,148100.0
34,2022-07-19,16187.049805,16359.5,16187.049805,16340.549805,16340.549805,222600
34,2022-08-22,38693.648438,38732.851563,38247.25,38297.75,38297.304688,124300.0
35,2022-07-20,16562.800781,16588.0,16490.949219,16520.849609,16520.849609,284400
35,2022-08-23,37955.449219,38869.898438,37950.851563,38697.648438,38697.199219,176400.0
36,2022-07-21,16523.550781,16626.949219,16483.900391,16605.25,16605.25,243600
36,2022-08-24,38552.699219,39120.800781,38552.199219,39038.5,39038.046875,214900.0
37,2022-07-22,16661.25,16752.25,16610.900391,16719.449219,16719.449219,190900
37,2022-08-25,39190.050781,39471.75,38803.699219,38950.75,38950.296875,333400.0
38,2022-07-25,16662.550781,16706.050781,16564.25,16631.0,16631.0,211400
38,2022-08-26,39129.648438,39337.101563,38846.800781,38987.148438,38986.695313,196300.0
39,2022-07-26,16632.900391,16636.099609,16463.300781,16483.849609,16483.849609,208200
39,2022-08-29,38111.601563,38397.101563,37943.851563,38276.699219,38276.253906,158000.0
40,2022-07-27,16475.349609,16653.449219,16438.75,16641.800781,16641.800781,185200
40,2022-08-30,38516.949219,39606.550781,38472.699219,39536.75,39536.289063,176800.0
41,2022-07-28,16774.849609,16947.650391,16746.25,16929.599609,16929.599609,376300
41,2022-09-01,38806.699219,39667.648438,38803.300781,39301.25,39300.792969,191200.0
42,2022-07-29,17079.5,17172.800781,17018.150391,17158.25,17158.25,436100
42,2022-09-02,39422.300781,39595.851563,39200.449219,39421.0,39420.542969,133900.0
43,2022-08-01,17243.199219,17356.25,17154.800781,17340.050781,17340.050781,381500
43,2022-09-05,39412.050781,39865.199219,39407.398438,39805.75,39805.289063,214100.0
44,2022-08-02,17310.150391,17390.150391,17215.849609,17345.449219,17345.449219,333600
